entry_date,exit_date,direction,holding_days,trade_return,signal_date,signal_value,signal_confidence,signal_direction,corr_col_used,corr_value_used,correlation_regime,flipped,signal_quality,actual_beat_consensus,actual_surprise,actual_surprise_direction,prediction_error,signal_correct,trade_direction_correct,flip_helped,outcome,benchmark_return,alpha_contribution,entry_type
2023-03-29,2023-03-30,1.0,1,-0.02773723501688874,2023-04-27,1.3254589718973522,0.0,1,leading_ma,,unknown,false,low,true,0.012448132780082987,1,,true,false,,direction_wrong_loss,0.005855353094197824,-0.03359258811108656,correlation_aware
2023-03-31,2023-04-03,1.0,1,0.11478874199543188,2023-04-27,1.3254589718973522,0.0,1,leading_ma,,unknown,false,low,true,0.012448132780082987,1,,true,true,,direction_right_profit,0.0038105027886004006,0.11097823920683147,correlation_aware
2023-04-04,2023-04-05,1.0,1,0.041113644637664315,2023-04-27,1.3254589718973522,0.0,1,leading_ma,,unknown,false,low,true,0.012448132780082987,1,,true,true,,direction_right_profit,-0.0026183818703406914,0.043732026508005006,correlation_aware
2023-04-06,2023-04-11,1.0,2,0.06608593278570063,2023-04-27,1.3254589718973522,0.0,1,leading_ma,,unknown,false,low,true,0.012448132780082987,1,,true,true,,direction_right_profit,0.001295083390122631,0.064790849395578,correlation_aware
2023-04-12,2023-04-13,1.0,1,0.024031730689483055,2023-04-27,1.3254589718973522,0.0,1,leading_ma,,unknown,false,low,true,0.012448132780082987,1,,true,true,,direction_right_profit,0.01328270494545225,0.010749025744030805,correlation_aware
2023-04-14,2023-04-19,1.0,3,-0.0483065423751754,2023-04-27,1.3254589718973522,0.0,1,leading_ma,,unknown,false,low,true,0.012448132780082987,1,,true,false,,direction_wrong_loss,0.004073287272875037,-0.052379829648050436,correlation_aware
2023-04-20,2023-04-25,1.0,3,0.0022452431647275173,2023-04-27,1.3254589718973522,0.0,1,leading_ma,,unknown,false,low,true,0.012448132780082987,1,,true,true,,direction_right_profit,-0.014081774111573186,0.016327017276300704,correlation_aware
2023-04-26,2023-04-27,1.0,1,-0.25314683180588937,2023-04-27,1.3254589718973522,0.0,1,leading_ma,,unknown,false,low,true,0.012448132780082987,1,,true,false,,direction_wrong_loss,0.01990827065787326,-0.27305510246376263,correlation_aware
2023-04-28,2023-05-01,1.0,1,0.029615055740523255,2023-04-27,1.3254589718973522,0.0,1,leading_ma,,unknown,false,low,true,0.012448132780082987,1,,true,true,,direction_right_profit,-0.0010097881011376098,0.030624843841660865,correlation_aware
2023-05-02,2023-05-03,1.0,1,0.01996503038196007,2023-04-27,1.3254589718973522,0.0,1,leading_ma,,unknown,false,low,true,0.012448132780082987,1,,true,true,,direction_right_profit,-0.006863951349661557,0.026828981731621626,correlation_aware
2023-05-04,2023-05-08,1.0,2,-0.042678679918835116,2023-04-27,1.3254589718973522,0.0,1,leading_ma,,unknown,false,low,true,0.012448132780082987,1,,true,false,,direction_wrong_loss,0.01878422968436322,-0.061462909603198335,correlation_aware
2023-05-09,2023-05-10,1.0,1,0.05762343136108439,2023-04-27,1.3254589718973522,0.0,1,leading_ma,,unknown,false,low,true,0.012448132780082987,1,,true,true,,direction_right_profit,0.004672375355157632,0.052951056005926755,correlation_aware
2023-05-11,2023-05-15,1.0,2,0.10685215653975377,2023-04-27,1.3254589718973522,0.0,1,leading_ma,,unknown,false,low,true,0.012448132780082987,1,,true,true,,direction_right_profit,0.0021354264149646696,0.1047167301247891,correlation_aware
2023-05-16,2023-05-17,1.0,1,-0.024031217033923413,2023-04-27,1.3254589718973522,0.0,1,leading_ma,,unknown,false,low,true,0.012448132780082987,1,,true,false,,direction_wrong_loss,0.012138752431354538,-0.03616996946527795,correlation_aware
2023-05-18,2023-05-23,1.0,3,0.0033504961778665354,2023-04-27,1.3254589718973522,0.0,1,leading_ma,,unknown,false,low,true,0.012448132780082987,1,,true,true,,direction_right_profit,-0.01226061559573055,0.015611111773597086,correlation_aware
2023-05-24,2023-05-25,1.0,1,-0.011703143019069051,2023-04-27,1.3254589718973522,0.0,1,leading_ma,,unknown,false,low,true,0.012448132780082987,1,,true,false,,direction_wrong_loss,0.008659789785337768,-0.02036293280440682,correlation_aware
2023-05-26,2023-05-31,1.0,2,0.050235490182304776,2023-04-27,1.3254589718973522,0.0,1,leading_ma,,unknown,false,low,true,0.012448132780082987,1,,true,true,,direction_right_profit,-0.005166335180489701,0.05540182536279448,correlation_aware
2023-06-01,2023-06-05,1.0,2,-0.029547582093772062,2023-04-27,1.3254589718973522,0.0,1,leading_ma,,unknown,false,low,true,0.012448132780082987,1,,true,false,,direction_wrong_loss,0.012517104955655611,-0.042064687049427674,correlation_aware
2023-06-06,2023-06-08,1.0,2,0.01132967331679624,2023-04-27,1.3254589718973522,0.0,1,leading_ma,,unknown,false,low,true,0.012448132780082987,1,,true,true,,direction_right_profit,0.00256992404903178,0.00875974926776446,correlation_aware
2023-06-09,2023-06-12,1.0,1,0.030276271764770657,2023-04-27,1.3254589718973522,0.0,1,leading_ma,,unknown,false,low,true,0.012448132780082987,1,,true,true,,direction_right_profit,0.009071807669114085,0.021204464095656572,correlation_aware
2023-06-13,2023-06-14,1.0,1,-0.030438428114690663,2023-04-27,1.3254589718973522,0.0,1,leading_ma,,unknown,false,low,true,0.012448132780082987,1,,true,false,,direction_wrong_loss,0.0011909406808983114,-0.031629368795588975,correlation_aware
2023-06-15,2023-06-16,1.0,1,-0.012539145762201831,2023-04-27,1.3254589718973522,0.0,1,leading_ma,,unknown,false,low,true,0.012448132780082987,1,,true,false,,direction_wrong_loss,-0.0034062543342762153,-0.009132891427925616,correlation_aware
2023-06-20,2023-06-22,1.0,2,0.008295220913096202,2023-04-27,1.3254589718973522,0.0,1,leading_ma,,unknown,false,low,true,0.012448132780082987,1,,true,true,,direction_right_profit,-0.0015323050408511119,0.009827525953947314,correlation_aware
2023-06-23,2023-06-26,1.0,1,0.022857092376938448,2023-04-27,1.3254589718973522,0.0,1,leading_ma,,unknown,false,low,true,0.012448132780082987,1,,true,true,,direction_right_profit,-0.0040856734564111985,0.026942765833349647,correlation_aware
2023-06-27,2023-06-28,1.0,1,0.04876576978796621,2023-04-27,1.3254589718973522,0.0,1,leading_ma,,unknown,false,low,true,0.012448132780082987,1,,true,true,,direction_right_profit,0.0005043897512511109,0.048261380036715096,correlation_aware
2023-06-29,2023-07-03,1.0,2,0.025744848062052128,2023-07-27,4.478125054694921,0.0,1,leading_ma,,unknown,false,low,true,0.09421487603305785,1,,true,true,,direction_right_profit,0.01296486675309727,0.012779981308954858,correlation_aware
2023-07-05,2023-07-10,1.0,3,0.052046679734598866,2023-07-27,4.478125054694921,0.0,1,leading_ma,,unknown,false,low,true,0.09421487603305785,1,,true,true,,direction_right_profit,-0.007830564458521039,0.059877244193119905,correlation_aware
2023-07-11,2023-07-12,1.0,1,0.04818281978811201,2023-07-27,4.478125054694921,0.0,1,leading_ma,,unknown,false,low,true,0.09421487603305785,1,,true,true,,direction_right_profit,0.008045952700349357,0.04013686708776265,correlation_aware
2023-07-13,2023-07-14,1.0,1,-0.026147266654364953,2023-07-27,4.478125054694921,0.0,1,leading_ma,,unknown,false,low,true,0.09421487603305785,1,,true,false,,direction_wrong_loss,-0.0006228876262921457,-0.025524379028072808,correlation_aware
2023-07-17,2023-07-24,1.0,5,-0.024060642442841673,2023-07-27,4.478125054694921,0.0,1,leading_ma,,unknown,false,low,true,0.09421487603305785,1,,true,false,,direction_wrong_loss,0.00745280119720082,-0.03151344364004249,correlation_aware
2023-07-25,2023-07-26,1.0,1,0.049514559922017254,2023-07-27,4.478125054694921,0.0,1,leading_ma,,unknown,false,low,true,0.09421487603305785,1,,true,true,,direction_right_profit,0.00015372875246555395,0.0493608311695517,correlation_aware
2023-07-27,2023-07-28,1.0,1,0.004411629469159406,2023-07-27,4.478125054694921,0.0,1,leading_ma,,unknown,false,low,true,0.09421487603305785,1,,true,true,,direction_right_profit,0.009790251084788038,-0.0053786216156286315,correlation_aware
2023-07-31,2023-08-01,1.0,1,-0.015098736309484106,2023-07-27,4.478125054694921,0.0,1,leading_ma,,unknown,false,low,true,0.09421487603305785,1,,true,false,,direction_wrong_loss,-0.0028613886669131006,-0.012237347642571006,correlation_aware
2023-08-02,2023-08-03,1.0,1,-0.02166663275824654,2023-07-27,4.478125054694921,0.0,1,leading_ma,,unknown,false,low,true,0.09421487603305785,1,,true,false,,direction_wrong_loss,-0.0028657709805249842,-0.018800861777721556,correlation_aware
2023-08-04,2023-08-07,1.0,1,0.0002879700801174945,2023-07-27,4.478125054694921,0.0,1,leading_ma,,unknown,false,low,true,0.09421487603305785,1,,true,true,,direction_right_profit,0.008728259305069264,-0.00844028922495177,correlation_aware
2023-08-08,2023-08-09,1.0,1,-0.039501648225099384,2023-07-27,4.478125054694921,0.0,1,leading_ma,,unknown,false,low,true,0.09421487603305785,1,,true,false,,direction_wrong_loss,-0.006685221082604276,-0.03281642714249511,correlation_aware
2023-08-10,2023-08-17,1.0,5,-0.03348071607868397,2023-07-27,4.478125054694921,0.0,1,leading_ma,,unknown,false,low,true,0.09421487603305785,1,,true,false,,direction_wrong_loss,-0.02157391155462962,-0.011906804524054349,correlation_aware
2023-08-18,2023-08-24,1.0,4,0.0029980063696040116,2023-07-27,4.478125054694921,0.0,1,leading_ma,,unknown,false,low,true,0.09421487603305785,1,,true,true,,direction_right_profit,0.000893384106656292,0.0021046222629477196,correlation_aware
2023-08-25,2023-08-29,1.0,2,0.050518118793357436,2023-07-27,4.478125054694921,0.0,1,leading_ma,,unknown,false,low,true,0.09421487603305785,1,,true,true,,direction_right_profit,0.020887887962731444,0.029630230830625992,correlation_aware
2023-08-30,2023-09-06,1.0,4,0.05733809607619955,2023-07-27,4.478125054694921,0.0,1,leading_ma,,unknown,false,low,true,0.09421487603305785,1,,true,true,,direction_right_profit,-0.010620717311841221,0.06795881338804077,correlation_aware
2023-09-07,2023-09-08,1.0,1,-0.0668163201792672,2023-07-27,4.478125054694921,0.0,1,leading_ma,,unknown,false,low,true,0.09421487603305785,1,,true,false,,direction_wrong_loss,0.00150609759509579,-0.06832241777436299,correlation_aware
2023-09-11,2023-09-12,1.0,1,0.00058894164613843,2023-07-27,4.478125054694921,0.0,1,leading_ma,,unknown,false,low,true,0.09421487603305785,1,,true,true,,direction_right_profit,-0.005485661592302682,0.006074603238441112,correlation_aware
2023-09-13,2023-09-15,1.0,2,-0.02697894633151765,2023-07-27,4.478125054694921,0.0,1,leading_ma,,unknown,false,low,true,0.09421487603305785,1,,true,false,,direction_wrong_loss,-0.0035297666828386642,-0.023449179648678986,correlation_aware
2023-09-18,2023-09-21,1.0,3,-0.02904687160767505,2023-07-27,4.478125054694921,0.0,1,leading_ma,,unknown,false,low,true,0.09421487603305785,1,,true,false,,direction_wrong_loss,-0.027590637535709672,-0.0014562340719653788,correlation_aware
2023-09-22,2023-09-27,1.0,3,0.03598014227731494,2023-07-27,4.478125054694921,0.0,1,leading_ma,,unknown,false,low,true,0.09421487603305785,1,,true,true,,direction_right_profit,-0.010152924143260855,0.0461330664205758,correlation_aware
2023-09-28,2023-09-29,1.0,1,-0.013826242204493688,2023-07-27,4.478125054694921,0.0,1,leading_ma,,unknown,false,low,true,0.09421487603305785,1,,true,false,,direction_wrong_loss,-0.002426863453558359,-0.01139937875093533,correlation_aware
2023-10-02,2023-10-03,1.0,1,-0.00663713933386989,2023-07-27,4.478125054694921,0.0,1,leading_ma,,unknown,false,low,true,0.09421487603305785,1,,true,false,,direction_wrong_loss,-0.013386022506523432,0.006748883172653541,correlation_aware
2023-10-04,2023-10-05,1.0,1,-0.036416404869805796,2023-11-01,0.24873136762453563,0.0,1,leading_ma,,unknown,false,low,true,0.046511627906976744,1,0.03889563332287098,true,false,,direction_wrong_loss,-0.0003767914507379899,-0.036039613419067806,correlation_aware
2023-10-06,2023-10-10,1.0,2,0.03835093409485846,2023-11-01,0.24873136762453563,0.0,1,leading_ma,,unknown,false,low,true,0.046511627906976744,1,0.03889563332287098,true,true,,direction_right_profit,0.011640155249827755,0.026710778845030703,correlation_aware
2023-10-11,2023-10-12,1.0,1,-0.046959502671737874,2023-11-01,0.24873136762453563,0.0,1,leading_ma,,unknown,false,low,true,0.046511627906976744,1,0.03889563332287098,true,false,,direction_wrong_loss,-0.0060963261997597495,-0.040863176471978124,correlation_aware
2023-10-13,2023-10-16,1.0,1,0.09576836943430678,2023-11-01,0.24873136762453563,0.0,1,leading_ma,,unknown,false,low,true,0.046511627906976744,1,0.03889563332287098,true,true,,direction_right_profit,0.010521471064535604,0.08524689836977117,correlation_aware
2023-10-17,2023-10-18,1.0,1,-0.019150391720406557,2023-11-01,0.24873136762453563,0.0,1,leading_ma,,unknown,false,low,true,0.046511627906976744,1,0.03889563332287098,true,false,,direction_wrong_loss,-0.013325009673050503,-0.005825382047356054,correlation_aware
2023-10-19,2023-10-23,1.0,2,-0.035281532072720445,2023-11-01,0.24873136762453563,0.0,1,leading_ma,,unknown,false,low,true,0.046511627906976744,1,0.03889563332287098,true,false,,direction_wrong_loss,-0.013999831530483675,-0.02128170054223677,correlation_aware
2023-10-24,2023-10-25,1.0,1,-0.047930339807237266,2023-11-01,0.24873136762453563,0.0,1,leading_ma,,unknown,false,low,true,0.046511627906976744,1,0.03889563332287098,true,false,,direction_wrong_loss,-0.014352220762665402,-0.033578119044571864,correlation_aware
2023-10-26,2023-10-30,1.0,2,-0.04781943493445551,2023-11-01,0.24873136762453563,0.0,1,leading_ma,,unknown,false,low,true,0.046511627906976744,1,0.03889563332287098,true,false,,direction_wrong_loss,0.007368956540044991,-0.0551883914745005,correlation_aware
2023-10-31,2023-11-01,1.0,1,0.028368730704025902,2023-11-01,0.24873136762453563,0.0,1,leading_ma,,unknown,false,low,true,0.046511627906976744,1,0.03889563332287098,true,true,,direction_right_profit,0.010664703153386412,0.01770402755063949,correlation_aware
2023-11-02,2023-11-03,1.0,1,0.03986504792176793,2023-11-01,0.24873136762453563,0.0,1,leading_ma,,unknown,false,low,true,0.046511627906976744,1,0.03889563332287098,true,true,,direction_right_profit,0.009123479717687788,0.03074156820408014,correlation_aware
2023-11-06,2023-11-07,1.0,1,0.008226705066248119,2023-11-01,0.24873136762453563,0.0,1,leading_ma,,unknown,false,low,true,0.046511627906976744,1,0.03889563332287098,true,true,,direction_right_profit,0.002845991030562711,0.005380714035685408,correlation_aware
2023-11-08,2023-11-09,1.0,1,-0.04199637986861471,2023-11-01,0.24873136762453563,0.0,1,leading_ma,,unknown,false,low,true,0.046511627906976744,1,0.03889563332287098,true,false,,direction_wrong_loss,-0.007798535254118777,-0.03419784461449593,correlation_aware
2023-11-10,2023-11-13,1.0,1,0.03548382174584175,2023-11-01,0.24873136762453563,0.0,1,leading_ma,,unknown,false,low,true,0.046511627906976744,1,0.03889563332287098,true,true,,direction_right_profit,-0.0009532019597364716,0.03643702370557822,correlation_aware
2023-11-14,2023-11-16,1.0,2,0.0026954224088961976,2023-11-01,0.24873136762453563,0.0,1,leading_ma,,unknown,false,low,true,0.046511627906976744,1,0.03889563332287098,true,true,,direction_right_profit,0.0033427301846045143,-0.0006473077757083168,correlation_aware
2023-11-17,2023-11-21,1.0,2,0.019963696914583995,2023-11-01,0.24873136762453563,0.0,1,leading_ma,,unknown,false,low,true,0.046511627906976744,1,0.03889563332287098,true,true,,direction_right_profit,0.005501458530102532,0.014462238384481463,correlation_aware
2023-11-22,2023-11-28,1.0,3,-0.02680116094317342,2023-11-01,0.24873136762453563,0.0,1,leading_ma,,unknown,false,low,true,0.046511627906976744,1,0.03889563332287098,true,false,,direction_wrong_loss,-0.00019770021856746478,-0.026603460724605954,correlation_aware
2023-11-29,2023-11-30,1.0,1,0.001891883643897696,2023-11-01,0.24873136762453563,0.0,1,leading_ma,,unknown,false,low,true,0.046511627906976744,1,0.03889563332287098,true,true,,direction_right_profit,0.003937471768640233,-0.0020455881247425367,correlation_aware
2023-12-01,2023-12-05,1.0,2,0.043629578198229435,2023-11-01,0.24873136762453563,0.0,1,leading_ma,,unknown,false,low,true,0.046511627906976744,1,0.03889563332287098,true,true,,direction_right_profit,-0.005445512356016757,0.04907509055424619,correlation_aware
2023-12-06,2023-12-07,1.0,1,0.03495604158869603,2023-11-01,0.24873136762453563,0.0,1,leading_ma,,unknown,false,low,true,0.046511627906976744,1,0.03889563332287098,true,true,,direction_right_profit,0.007630274164991624,0.027325767423704406,correlation_aware
2023-12-08,2023-12-11,1.0,1,-0.01907426260989331,2023-11-01,0.24873136762453563,0.0,1,leading_ma,,unknown,false,low,true,0.046511627906976744,1,0.03889563332287098,true,false,,direction_wrong_loss,0.0038896432695847416,-0.022963905879478053,correlation_aware
2023-12-12,2023-12-18,1.0,4,0.07393292180607314,2023-11-01,0.24873136762453563,0.0,1,leading_ma,,unknown,false,low,true,0.046511627906976744,1,0.03889563332287098,true,true,,direction_right_profit,0.02108090221522918,0.05285201959084396,correlation_aware
2023-12-19,2023-12-20,1.0,1,-0.04807235687191558,2023-11-01,0.24873136762453563,0.0,1,leading_ma,,unknown,false,low,true,0.046511627906976744,1,0.03889563332287098,true,false,,direction_wrong_loss,-0.013857180095133148,-0.03421517677678243,correlation_aware
2023-12-21,2023-12-22,1.0,1,-0.01128083550747172,2023-11-01,0.24873136762453563,0.0,1,leading_ma,,unknown,false,low,true,0.046511627906976744,1,0.03889563332287098,true,false,,direction_wrong_loss,0.002009624923821285,-0.013290460431293005,correlation_aware
2023-12-26,2024-01-02,1.0,4,-0.02928086297051169,2023-11-01,0.24873136762453563,0.0,1,leading_ma,,unknown,false,low,true,0.046511627906976744,1,0.03889563332287098,true,false,,direction_wrong_loss,-0.0063071951781478175,-0.022973667792363872,correlation_aware
2024-01-03,2024-01-09,1.0,4,0.20356605221827295,2023-11-01,0.24873136762453563,0.0,1,leading_ma,,unknown,false,low,true,0.046511627906976744,1,0.03889563332287098,true,true,,direction_right_profit,0.010857714410591468,0.19270833780768148,correlation_aware
2024-01-10,2024-01-11,1.0,1,-0.010300564786903776,2023-11-01,0.24873136762453563,0.0,1,leading_ma,,unknown,false,low,true,0.046511627906976744,1,0.03889563332287098,true,false,,direction_wrong_loss,-0.0004405746842006675,-0.009859990102703109,correlation_aware
2024-01-12,2024-01-16,1.0,1,0.006834679558094692,2023-11-01,0.24873136762453563,0.0,1,leading_ma,,unknown,false,low,true,0.046511627906976744,1,0.03889563332287098,true,true,,direction_right_profit,-0.0036712526764698383,0.01050593223456453,correlation_aware
2024-01-17,2024-01-18,1.0,1,-0.026542933495601995,2023-11-01,0.24873136762453563,0.0,1,leading_ma,,unknown,false,low,true,0.046511627906976744,1,0.03889563332287098,true,false,,direction_wrong_loss,0.008892879948702914,-0.03543581344430491,correlation_aware
2024-01-19,2024-01-24,1.0,3,-0.004391760187059224,2023-11-01,0.24873136762453563,0.0,1,leading_ma,,unknown,false,low,true,0.046511627906976744,1,0.03889563332287098,true,false,,direction_wrong_loss,0.006135777411087728,-0.010527537598146952,correlation_aware
2024-01-25,2024-01-29,1.0,2,0.05099822874870985,2023-11-01,0.24873136762453563,0.0,1,leading_ma,,unknown,false,low,true,0.046511627906976744,1,0.03889563332287098,true,true,,direction_right_profit,0.006638869612078047,0.044359359136631804,correlation_aware
2024-01-30,2024-01-31,1.0,1,-0.02258813001796378,2024-02-27,3.535551423978865e-13,0.0,1,leading_ma,,unknown,false,low,true,0.06735243693362723,1,0.06735243693362203,true,false,,direction_wrong_loss,-0.016317388596066684,-0.006270741421897097,correlation_aware
2024-02-01,2024-02-05,1.0,2,0.017299571063864372,2024-02-27,3.535551423978865e-13,0.0,1,leading_ma,,unknown,false,low,true,0.06735243693362723,1,0.06735243693362203,true,true,,direction_right_profit,0.006847878949976627,0.010451692113887745,correlation_aware
2024-02-06,2024-02-13,1.0,5,-0.01414714570362774,2024-02-27,3.535551423978865e-13,0.0,1,leading_ma,,unknown,false,low,true,0.06735243693362723,1,0.06735243693362203,true,false,,direction_wrong_loss,0.00020232666805397592,-0.014349472371681715,correlation_aware
2024-02-14,2024-02-15,1.0,1,-0.01905523776928808,2024-02-27,3.535551423978865e-13,0.0,1,leading_ma,,unknown,false,low,true,0.06735243693362723,1,0.06735243693362203,true,false,,direction_wrong_loss,0.006899636850324242,-0.025954874619612323,correlation_aware
